,ds,yhat
319,2022-09-30,14635.854913844169
320,2022-10-01,17806.339141977925
321,2022-10-02,17729.402137961377
322,2022-10-03,16262.7682907417
323,2022-10-04,16870.68460282302
324,2022-10-05,15616.699377554089
325,2022-10-06,11061.31382648938
326,2022-10-07,14251.36045047706
327,2022-10-08,17489.664562345035
328,2022-10-09,17465.612727915395
329,2022-10-10,16036.211895168288
330,2022-10-11,16665.49328384489
331,2022-10-12,15417.288712993588
332,2022-10-13,10852.865651487697
333,2022-10-14,14020.275539500635
334,2022-10-15,17223.972807929702
335,2022-10-16,17155.329761027733
336,2022-10-17,15673.632765699698
337,2022-10-18,16245.415728229114
338,2022-10-19,14937.160620806024
339,2022-10-20,10312.853544756392
340,2022-10-21,13423.253133020393
341,2022-10-22,16575.430962938237
342,2022-10-23,16463.211315940098
343,2022-10-24,14948.097766594856
344,2022-10-25,15498.544434507075
345,2022-10-26,14182.603278863133
346,2022-10-27,9565.437264315487
347,2022-10-28,12698.557233686275
348,2022-10-29,15889.342860255569
349,2022-10-30,15831.47537187708
350,2022-10-31,14385.869536490452
351,2022-11-01,15019.962406279306
352,2022-11-02,13800.389537190757
353,2022-11-03,9290.537546256948
354,2022-11-04,12539.829606217358
355,2022-11-05,15853.302783406682
356,2022-11-06,15922.103259144971
357,2022-11-07,14604.485136328043
358,2022-11-08,15365.168457325924
359,2022-11-09,14268.085248938973
360,2022-11-10,9874.000579729436
361,2022-11-11,13229.863427102286
362,2022-11-12,16638.444581952463
363,2022-11-13,16788.88612030987
364,2022-11-14,15537.746838211368
365,2022-11-15,16348.3982081698
366,2022-11-16,15283.798865598028
367,2022-11-17,10904.1340808101
368,2022-11-18,14256.17476899538
369,2022-11-19,17642.91330580697
370,2022-11-20,17754.100993214826
371,2022-11-21,16447.27214798407
372,2022-11-22,17187.110182494922
373,2022-11-23,16038.184706265754
374,2022-11-24,11562.547295499491
375,2022-11-25,14809.041810079125
376,2022-11-26,18082.887944522055
377,2022-11-27,18076.16432788014
378,2022-11-28,16648.777621393623
379,2022-11-29,17267.77442597027
380,2022-11-30,16000.026395351828
381,2022-12-01,11409.777459409554
382,2022-12-02,14547.910151018115
383,2022-12-03,17721.490668135353
384,2022-12-04,17624.219740732355
385,2022-12-05,16117.37630134936
386,2022-12-06,16669.11110894899
387,2022-12-07,15347.120845291594
388,2022-12-08,10716.191503198746
389,2022-12-09,13827.467777491134
390,2022-12-10,16988.00762728841
391,2022-12-11,16891.248457140307
392,2022-12-12,15397.971161782689
393,2022-12-13,15975.618325047832
394,2022-12-14,14690.996161503444
395,2022-12-15,10107.848048414262
396,2022-12-16,13276.155378836458
397,2022-12-17,16501.72394782916
398,2022-12-18,16476.681414191193
399,2022-12-19,15060.471256289446
400,2022-12-20,15719.198787239346
401,2022-12-21,14518.358212217026
402,2022-12-22,10020.428102834188
403,2022-12-23,13274.1906882989
404,2022-12-24,16584.332989208568
405,2022-12-25,16641.95529338569
406,2022-12-26,15305.57248548232
407,2022-12-27,16040.464013739904
408,2022-12-28,14911.40180442253
409,2022-12-29,10480.243916915297
410,2022-12-30,13795.24982678222
411,2022-12-31,17160.675895870394
412,2023-01-01,17267.277083975212
413,2023-01-02,15973.300965842354
414,2023-01-03,16743.830363906785
415,2023-01-04,15643.504385289636
416,2023-01-05,11234.106068432013
417,2023-01-06,14563.872854864032
418,2023-01-07,17937.088678794942
419,2023-01-08,18044.58385813094
420,2023-01-09,16744.728872588705
421,2023-01-10,17502.778253614404
422,2023-01-11,16383.59418713702
423,2023-01-12,11949.23775353294
424,2023-01-13,15248.28366025378
425,2023-01-14,18585.41683514995
426,2023-01-15,18651.93659654592
427,2023-01-16,17306.753994084225
428,2023-01-17,18015.73805352309
429,2023-01-18,16844.440057053693
430,2023-01-19,12355.683359003016
431,2023-01-20,15598.874233312645
432,2023-01-21,18879.591847024083
433,2023-01-22,18890.082902580605
434,2023-01-23,17490.246483318304
435,2023-01-24,18146.96489778584
436,2023-01-25,16926.809843160187
437,2023-01-26,12393.611701909947
438,2023-01-27,15597.747902886484
439,2023-01-28,18845.708986561087
440,2023-01-29,18830.5685583264
441,2023-01-30,17412.943383942693
442,2023-01-31,18060.30019764537
443,2023-02-01,16839.639349950256
444,2023-02-02,12315.043920334196
445,2023-02-03,15536.951014555743
446,2023-02-04,18811.70462271969
447,2023-02-05,18832.01688130081
448,2023-02-06,17457.92454730036
449,2023-02-07,18156.097682786967
450,2023-02-08,16992.530957354993
451,2023-02-09,12530.106312100188
452,2023-02-10,15817.8836499005
453,2023-02-11,19160.678694756556
454,2023-02-12,19249.554451129523
455,2023-02-13,17942.812486251067
456,2023-02-14,18705.34028695363
457,2023-02-15,17601.34420680274
458,2023-02-16,13191.955732601422
459,2023-02-17,16524.566623698174
460,2023-02-18,19902.450888912517
461,2023-02-19,20015.29882051828
462,2023-02-20,18720.24809792151
463,2023-02-21,19481.267039481896
464,2023-02-22,18361.91841794512
465,2023-02-23,13922.990575368793
466,2023-02-24,17211.850536863116
467,2023-02-25,20532.076402198632
468,2023-02-26,20573.99374004177
469,2023-02-27,19195.70071553827
470,2023-02-28,19862.436970783736
471,2023-03-01,18639.32484748571
472,2023-03-02,14088.970092644697
473,2023-03-03,17260.777377035534
474,2023-03-04,20460.53874785263
475,2023-03-05,20380.92077478588
476,2023-03-06,18882.43632109134
477,2023-03-07,19432.75729547281
478,2023-03-08,18099.398410074155
479,2023-03-09,13447.260582053295
480,2023-03-10,16527.890824454913
481,2023-03-11,19649.018240207417
482,2023-03-12,19504.993305040734
483,2023-03-13,17957.71768959119
484,2023-03-14,18475.92214971548
485,2023-03-15,17127.82350140904
486,2023-03-16,12478.650098011476
487,2023-03-17,15579.893198938806
488,2023-03-18,18738.84413358938
489,2023-03-19,18649.04447071133
490,2023-03-20,17171.236199857896
491,2023-03-21,17772.668946314436
492,2023-03-22,16519.79447674771
493,2023-03-23,11975.836921359793
494,2023-03-24,15190.09490491284
495,2023-03-25,18467.534119150787
496,2023-03-26,18499.296041897152
497,2023-03-27,17143.708210425586
