,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
223,2021-01-29,36609.78561993425,28440.432897438826,41511.09794731856,36609.78561993425,36609.78561993425,-1573.1521914793036,-1573.1521914793036,-1573.1521914793036,-1284.3167633924793,-1284.3167633924793,-1284.3167633924793,-288.83542808682444,-288.83542808682444,-288.83542808682444,0.0,0.0,0.0,35036.633428454945
224,2021-02-05,36589.598216349805,28154.776008861358,41604.3074308601,36589.598216349805,36589.598216349805,-1347.4193480641857,-1347.4193480641857,-1347.4193480641857,-1284.3167633905873,-1284.3167633905873,-1284.3167633905873,-63.102584673598514,-63.102584673598514,-63.102584673598514,0.0,0.0,0.0,35242.17886828562
225,2021-02-19,36407.94525709581,30264.938064290644,43403.42252220896,36407.94525709581,36407.94525709581,284.21119218961087,284.21119218961087,284.21119218961087,-1284.3167633828223,-1284.3167633828223,-1284.3167633828223,1568.5279555724333,1568.5279555724333,1568.5279555724333,0.0,0.0,0.0,36692.15644928542
226,2021-02-26,36317.118777468815,30603.73599406325,44199.62666397501,36317.118777468815,36317.118777468815,1006.2348709204002,1006.2348709204002,1006.2348709204002,-1284.3167633796031,-1284.3167633796031,-1284.3167633796031,2290.5516343000036,2290.5516343000036,2290.5516343000036,0.0,0.0,0.0,37323.35364838922
227,2021-03-05,36226.29229784182,30921.755617515584,44183.10463835882,36226.29229784182,36226.29229784182,956.229274895413,956.229274895413,956.229274895413,-1284.3167633957767,-1284.3167633957767,-1284.3167633957767,2240.5460382911897,2240.5460382911897,2240.5460382911897,0.0,0.0,0.0,37182.521572737234
228,2021-03-12,36135.46581821482,29127.10586592356,43303.834980862695,36135.46581821482,36135.46581821482,257.36332685175256,257.36332685175256,257.36332685175256,-1284.3167633912303,-1284.3167633912303,-1284.3167633912303,1541.680090242983,1541.680090242983,1541.680090242983,0.0,0.0,0.0,36392.82914506657
229,2021-03-19,36044.639338587825,28779.53913350639,41890.47646572113,36044.639338587825,36044.639338587825,-362.1883111310563,-362.1883111310563,-362.1883111310563,-1284.3167633880114,-1284.3167633880114,-1284.3167633880114,922.128452256955,922.128452256955,922.128452256955,0.0,0.0,0.0,35682.451027456766
230,2021-03-26,35953.81285896083,29012.20391685408,42383.21747420058,35953.81285896083,35953.81285896083,-247.27571653256834,-247.27571653256834,-247.27571653256834,-1284.3167633847927,-1284.3167633847927,-1284.3167633847927,1037.041046852224,1037.041046852224,1037.041046852224,0.0,0.0,0.0,35706.537142428264
231,2021-04-02,35862.98637933384,30069.78349656001,42836.58489072032,35862.98637933384,35862.98637933384,589.8627954448334,589.8627954448334,589.8627954448334,-1284.3167634009658,-1284.3167634009658,-1284.3167634009658,1874.1795588457992,1874.1795588457992,1874.1795588457992,0.0,0.0,0.0,36452.84917477867
232,2021-04-09,35772.159899706836,30573.789321326596,44332.33307715263,35772.159899706836,35772.159899706836,1605.1458494938556,1605.1458494938556,1605.1458494938556,-1284.3167633964194,-1284.3167633964194,-1284.3167633964194,2889.4626128902746,2889.4626128902746,2889.4626128902746,0.0,0.0,0.0,37377.30574920069
233,2021-04-16,35681.33342007984,31532.522950073097,44497.74184457623,35681.33342007984,35681.33342007984,2373.4640261643285,2373.4640261643285,2373.4640261643285,-1284.3167633945282,-1284.3167633945282,-1284.3167633945282,3657.7807895588567,3657.7807895588567,3657.7807895588567,0.0,0.0,0.0,38054.79744624417
234,2021-04-23,35522.73587129373,31757.62787882539,44783.81320806274,35522.73587129373,35522.73587129373,2949.019897751245,2949.019897751245,2949.019897751245,-1284.3167633899816,-1284.3167633899816,-1284.3167633899816,4233.336661141226,4233.336661141226,4233.336661141226,0.0,0.0,0.0,38471.755769044976
235,2021-04-30,35364.13832250762,32188.04581869521,45352.43152288259,35364.13832250762,35364.13832250762,3553.4164079129496,3553.4164079129496,3553.4164079129496,-1284.3167633854346,-1284.3167633854346,-1284.3167633854346,4837.733171298384,4837.733171298384,4837.733171298384,0.0,0.0,0.0,38917.55473042057
236,2021-05-07,35205.540773721514,32293.531323167903,45206.58094313059,35205.540773721514,35205.540773721514,4103.344842812439,4103.344842812439,4103.344842812439,-1284.3167633835437,-1284.3167633835437,-1284.3167633835437,5387.661606195984,5387.661606195984,5387.661606195984,0.0,0.0,0.0,39308.88561653395
237,2021-05-14,35046.9432249354,32926.24278165058,46230.81107328173,35046.9432249354,35046.9432249354,4278.995764925252,4278.995764925252,4278.995764925252,-1284.3167633789972,-1284.3167633789972,-1284.3167633789972,5563.312528304248,5563.312528304248,5563.312528304248,0.0,0.0,0.0,39325.93898986065
238,2021-05-21,34888.3456761493,31900.781603569067,45349.09506025468,34888.3456761493,34888.3456761493,4048.1579804546523,4048.1579804546523,4048.1579804546523,-1284.3167633951707,-1284.3167633951707,-1284.3167633951707,5332.4747438498225,5332.4747438498225,5332.4747438498225,0.0,0.0,0.0,38936.50365660395
239,2021-05-28,34729.74812736319,32285.769649705464,45046.97335613457,34729.74812736319,34729.74812736319,3845.767792408549,3845.767792408549,3845.767792408549,-1284.316763390624,-1284.316763390624,-1284.316763390624,5130.084555799173,5130.084555799173,5130.084555799173,0.0,0.0,0.0,38575.515919771744
240,2021-06-04,34571.150578577086,32077.39736486135,45227.052260495046,34571.150578577086,34571.150578577086,3995.9403557610576,3995.9403557610576,3995.9403557610576,-1284.316763388733,-1284.316763388733,-1284.316763388733,5280.25711914979,5280.25711914979,5280.25711914979,0.0,0.0,0.0,38567.09093433814
241,2021-06-11,34412.55302979097,31894.521050773546,45061.55788130623,34412.55302979097,34412.55302979097,4049.3029175105394,4049.3029175105394,4049.3029175105394,-1284.316763384186,-1284.316763384186,-1284.316763384186,5333.619680894725,5333.619680894725,5333.619680894725,0.0,0.0,0.0,38461.85594730151
242,2021-06-18,34253.95548100487,30574.514762118346,43530.05559192584,34253.95548100487,34253.95548100487,3048.760911514801,3048.760911514801,3048.760911514801,-1284.3167634003603,-1284.3167634003603,-1284.3167634003603,4333.077674915162,4333.077674915162,4333.077674915162,0.0,0.0,0.0,37302.71639251967
243,2021-06-25,34095.35793221876,28377.40390332117,41407.30258160773,34095.35793221876,34095.35793221876,697.6488044870212,697.6488044870212,697.6488044870212,-1284.316763397141,-1284.316763397141,-1284.316763397141,1981.9655678841618,1981.9655678841618,1981.9655678841618,0.0,0.0,0.0,34793.00673670578
244,2021-07-02,33891.87458775626,25632.36798759017,39087.37017859315,33891.87458775626,33891.87458775626,-1862.0822564334362,-1862.0822564334362,-1862.0822564334362,-1284.316763393922,-1284.316763393922,-1284.316763393922,-577.7654930395145,-577.7654930395145,-577.7654930395145,0.0,0.0,0.0,32029.792331322824
245,2021-07-09,33688.39124329375,24662.989427277385,37235.78961801886,33688.39124329375,33688.39124329375,-2793.68221314024,-2793.68221314024,-2793.68221314024,-1284.3167633893754,-1284.3167633893754,-1284.3167633893754,-1509.3654497508653,-1509.3654497508653,-1509.3654497508653,0.0,0.0,0.0,30894.70903015351
246,2021-07-16,33484.907898831254,25502.051087227435,38689.11742376626,33484.907898831254,33484.907898831254,-1321.0337712414016,-1321.0337712414016,-1321.0337712414016,-1284.316763387484,-1284.316763387484,-1284.316763387484,-36.71700785391749,-36.71700785391749,-36.71700785391749,0.0,0.0,0.0,32163.874127589854
247,2021-07-23,33281.42455436876,28048.49102442143,41205.73481421543,33281.42455436876,33281.42455436876,1317.426787904423,1317.426787904423,1317.426787904423,-1284.3167633829376,-1284.3167633829376,-1284.3167633829376,2601.743551287361,2601.743551287361,2601.743551287361,0.0,0.0,0.0,34598.85134227318
