,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
555,2023-05-24,13805.161584386633,12108.060024418823,25701.40832968703,13194.492298607813,14434.976166114424,5249.342632145652,5249.342632145652,5249.342632145652,20.425127156032982,20.425127156032982,20.425127156032982,5228.9175049896185,5228.9175049896185,5228.9175049896185,0.0,0.0,0.0,19054.504216532285
556,2023-05-25,13776.092535177704,7996.9477438462845,20670.371414690137,13160.25640270791,14408.717664710108,692.6277713876955,692.6277713876955,692.6277713876955,-4501.972180397932,-4501.972180397932,-4501.972180397932,5194.599951785627,5194.599951785627,5194.599951785627,0.0,0.0,0.0,14468.7203065654
557,2023-05-26,13747.023485968773,10901.710467045661,24458.017490694427,13126.020506808016,14382.268071342718,3882.18486763701,3882.18486763701,3882.18486763701,-1284.3167633937765,-1284.3167633937765,-1284.3167633937765,5166.5016310307865,5166.5016310307865,5166.5016310307865,0.0,0.0,0.0,17629.208353605783
558,2023-05-27,13717.954436759845,14382.686773233423,27386.591577173473,13091.784610908126,14355.625580276534,7124.378346424289,7124.378346424289,7124.378346424289,1978.6325202539178,1978.6325202539178,1978.6325202539178,5145.745826170372,5145.745826170372,5145.745826170372,0.0,0.0,0.0,20842.332783184134
559,2023-05-28,13688.885387550914,14034.801346224527,27255.367589693156,13057.548715008234,14328.685031931665,7111.787505487753,7111.787505487753,7111.787505487753,1978.6325194046856,1978.6325194046856,1978.6325194046856,5133.154986083068,5133.154986083068,5133.154986083068,0.0,0.0,0.0,20800.672893038667
560,2023-05-29,13659.816338341985,12364.94070009043,25865.71803455699,13023.312819108342,14303.00941423333,5704.146093654583,5704.146093654583,5704.146093654583,574.9419354769421,574.9419354769421,574.9419354769421,5129.20415817764,5129.20415817764,5129.20415817764,0.0,0.0,0.0,19363.962431996566
561,2023-05-30,13630.747289133067,13103.347082810855,27317.42956463254,12989.076923208439,14277.296171401169,6367.639797854086,6367.639797854086,6367.639797854086,1233.656841477841,1233.656841477841,1233.656841477841,5133.982956376244,5133.982956376244,5133.982956376244,0.0,0.0,0.0,19998.387086987153
562,2023-05-31,13601.678239924137,11889.730202794566,25571.27273895012,12954.841027308546,14251.223167370556,5167.592713027685,5167.592713027685,5167.592713027685,20.425127170020975,20.425127170020975,20.425127170020975,5147.167585857664,5147.167585857664,5147.167585857664,0.0,0.0,0.0,18769.27095295182
563,2023-06-01,13572.609190715208,7318.0043203040195,20596.81260339824,12920.605131408654,14224.903938448871,666.032018246855,666.032018246855,666.032018246855,-4501.972180398993,-4501.972180398993,-4501.972180398993,5168.004198645848,5168.004198645848,5168.004198645848,0.0,0.0,0.0,14238.641208962063
564,2023-06-02,13543.540141506277,10804.37271374402,23632.24081294019,12886.369235508762,14198.584709527195,3910.9877985863855,3910.9877985863855,3910.9877985863855,-1284.3167633905573,-1284.3167633905573,-1284.3167633905573,5195.304561976943,5195.304561976943,5195.304561976943,0.0,0.0,0.0,17454.527940092663
565,2023-06-03,13514.471092297348,14403.184330049471,26838.75258000963,12852.51020070555,14172.252921964415,7206.0872126816475,7206.0872126816475,7206.0872126816475,1978.6325202589417,1978.6325202589417,1978.6325202589417,5227.454692422705,5227.454692422705,5227.454692422705,0.0,0.0,0.0,20720.558304978997
566,2023-06-04,13485.402043088407,13990.000126202554,28112.601534330322,12818.971750685278,14146.92465611155,7241.069270979655,7241.069270979655,7241.069270979655,1978.6325194059891,1978.6325194059891,1978.6325194059891,5262.436751573666,5262.436751573666,5262.436751573666,0.0,0.0,0.0,20726.47131406806
567,2023-06-05,13456.332993879476,13018.133266118954,26369.06712783238,12785.433300665016,14121.381399961287,5872.806059034526,5872.806059034526,5872.806059034526,574.9419354821277,574.9419354821277,574.9419354821277,5297.864123552398,5297.864123552398,5297.864123552398,0.0,0.0,0.0,19329.139052914
568,2023-06-06,13427.263944670547,13528.228681391189,26584.56706515821,12751.894850644765,14095.808937507682,6564.686052371178,6564.686052371178,6564.686052371178,1233.6568414807612,1233.6568414807612,1233.6568414807612,5331.029210890417,5331.029210890417,5331.029210890417,0.0,0.0,0.0,19991.949997041724
569,2023-06-07,13398.19489546163,11718.328826661269,24981.31834334505,12717.661916397552,14070.72286251093,5379.388231608575,5379.388231608575,5379.388231608575,20.425127165364295,20.425127165364295,20.425127165364295,5358.963104443211,5358.963104443211,5358.963104443211,0.0,0.0,0.0,18777.583127070204
570,2023-06-08,13369.125846252698,7428.323572739922,20386.17561414598,12683.408896115534,14045.63678751419,876.533735345331,876.533735345331,876.533735345331,-4501.972180400055,-4501.972180400055,-4501.972180400055,5378.505915745384,5378.505915745384,5378.505915745384,0.0,0.0,0.0,14245.659581598029
571,2023-06-09,13340.05679704377,10754.86319548093,24097.245483078103,12648.622074017565,14020.550712517439,4102.06945406775,4102.06945406775,4102.06945406775,-1284.3167633860107,-1284.3167633860107,-1284.3167633860107,5386.38621745376,5386.38621745376,5386.38621745376,0.0,0.0,0.0,17442.12625111152
572,2023-06-10,13310.987747834839,13943.284656551026,27832.847655386326,12614.188618192045,13995.464637520688,7357.94024973591,7357.94024973591,7357.94024973591,1978.6325202582673,1978.6325202582673,1978.6325202582673,5379.307729477641,5379.307729477641,5379.307729477641,0.0,0.0,0.0,20668.927997570747
573,2023-06-11,13281.91869862591,14606.572896822881,27173.855635102722,12582.166667508023,13970.378562523936,7332.6736439281085,7332.6736439281085,7332.6736439281085,1978.6325194125009,1978.6325194125009,1978.6325194125009,5354.041124515607,5354.041124515607,5354.041124515607,0.0,0.0,0.0,20614.592342554017
574,2023-06-12,13252.849649416992,12060.068680082424,25430.078281548464,12550.07516650578,13945.292487527186,5882.460550932752,5882.460550932752,5882.460550932752,574.9419354792926,574.9419354792926,574.9419354792926,5307.5186154534595,5307.5186154534595,5307.5186154534595,0.0,0.0,0.0,19135.310200349744
575,2023-06-13,13223.780600208062,12988.31445198251,26163.76930030272,12515.285005081812,13921.692535090338,6470.585676942554,6470.585676942554,6470.585676942554,1233.6568414802614,1233.6568414802614,1233.6568414802614,5236.928835462293,5236.928835462293,5236.928835462293,0.0,0.0,0.0,19694.366277150613
576,2023-06-14,13194.711550999133,11345.904402557677,24930.84457810455,12481.32917019753,13896.765403973723,5160.234562345188,5160.234562345188,5160.234562345188,20.425127165011258,20.425127165011258,20.425127165011258,5139.8094351801765,5139.8094351801765,5139.8094351801765,0.0,0.0,0.0,18354.946113344322
