,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
305,2022-11-18,44829.74740638841,43173.626974851366,46429.878773435354,43202.24186879141,46351.32872225158,-6.852146681639912,-6.852146681639912,-6.852146681639912,-6.852146681639912,-6.852146681639912,-6.852146681639912,0.0,0.0,0.0,44822.89525970677
306,2022-11-19,44809.995814508846,43085.216020243526,46396.380002825965,43135.7487721224,46372.004410107285,2.156399018750814,2.156399018750814,2.156399018750814,2.156399018750814,2.156399018750814,2.156399018750814,0.0,0.0,0.0,44812.152213527595
307,2022-11-20,44790.244222629284,43019.7840248887,46390.14771239429,43072.2863966238,46391.837678510194,2.1564489947483123,2.1564489947483123,2.1564489947483123,2.1564489947483123,2.1564489947483123,2.1564489947483123,0.0,0.0,0.0,44792.40067162403
308,2022-11-21,44770.49263074972,43069.919831874446,46392.48603104021,43003.78144417193,46400.07341964509,8.896050976016099,8.896050976016099,8.896050976016099,8.896050976016099,8.896050976016099,8.896050976016099,0.0,0.0,0.0,44779.38868172574
309,2022-11-22,44750.741038870154,42944.63039680311,46411.79191521315,42939.282590787174,46406.56180715984,5.2678339433140025,5.2678339433140025,5.2678339433140025,5.2678339433140025,5.2678339433140025,5.2678339433140025,0.0,0.0,0.0,44756.008872813465
310,2022-11-23,44730.9894469906,42907.630024062884,46456.077055286434,42892.36605732128,46414.6350609934,-13.776401599017861,-13.776401599017861,-13.776401599017861,-13.776401599017861,-13.776401599017861,-13.776401599017861,0.0,0.0,0.0,44717.21304539158
311,2022-11-24,44711.23785511104,42799.08964033262,46431.3279667574,42835.98031932185,46433.20702419341,2.151815347899547,2.151815347899547,2.151815347899547,2.151815347899547,2.151815347899547,2.151815347899547,0.0,0.0,0.0,44713.389670458935
312,2022-11-25,44691.48626323147,42778.50537627969,46455.66433307332,42764.47003975209,46455.6901262838,-6.852146681654679,-6.852146681654679,-6.852146681654679,-6.852146681654679,-6.852146681654679,-6.852146681654679,0.0,0.0,0.0,44684.634116549816
313,2022-11-26,44671.734671351915,42700.25843169461,46546.89258158826,42721.25011234078,46488.15893921357,2.156399018743394,2.156399018743394,2.156399018743394,2.156399018743394,2.156399018743394,2.156399018743394,0.0,0.0,0.0,44673.89107037066
314,2022-11-27,44651.983079472346,42672.83889963093,46588.52160259864,42656.50329243125,46524.01693426615,2.1564489947199768,2.1564489947199768,2.1564489947199768,2.1564489947199768,2.1564489947199768,2.1564489947199768,0.0,0.0,0.0,44654.139528467065
315,2022-11-28,44632.23148759279,42609.730850321765,46600.7730235311,42598.94235678552,46578.54059923925,8.896050976055239,8.896050976055239,8.896050976055239,8.896050976055239,8.896050976055239,8.896050976055239,0.0,0.0,0.0,44641.12753856885
316,2022-11-29,44612.47989571322,42588.02698843854,46595.305548227894,42543.08834065006,46581.017438671704,5.267833943313045,5.267833943313045,5.267833943313045,5.267833943313045,5.267833943313045,5.267833943313045,0.0,0.0,0.0,44617.747729656534
317,2022-11-30,44592.72830383366,42566.48720404154,46629.5075228194,42471.48875376577,46597.8811396267,-13.776401599002185,-13.776401599002185,-13.776401599002185,-13.776401599002185,-13.776401599002185,-13.776401599002185,0.0,0.0,0.0,44578.95190223466
318,2022-12-01,44572.9767119541,42474.39289475006,46612.41751383674,42390.13766589285,46601.352114635876,2.1518153479073843,2.1518153479073843,2.1518153479073843,2.1518153479073843,2.1518153479073843,2.1518153479073843,0.0,0.0,0.0,44575.128527302004
319,2022-12-02,44553.22512007454,42405.54652073726,46656.045316865704,42341.77752645229,46630.65108375386,-6.8521466816509085,-6.8521466816509085,-6.8521466816509085,-6.8521466816509085,-6.8521466816509085,-6.8521466816509085,0.0,0.0,0.0,44546.372973392885
320,2022-12-03,44533.473528194976,42329.12624380098,46804.09340615524,42294.47459511691,46670.50292372654,2.156399018735973,2.156399018735973,2.156399018735973,2.156399018735973,2.156399018735973,2.156399018735973,0.0,0.0,0.0,44535.62992721371
321,2022-12-04,44513.72193631541,42213.31042983168,46761.079076838905,42235.38487977256,46687.26533155716,2.156448994698351,2.156448994698351,2.156448994698351,2.156448994698351,2.156448994698351,2.156448994698351,0.0,0.0,0.0,44515.878385310105
322,2022-12-05,44493.97034443585,42157.22586926622,46763.08528701128,42175.30160780876,46721.43813208697,8.896050975996962,8.896050975996962,8.896050975996962,8.896050975996962,8.896050975996962,8.896050975996962,0.0,0.0,0.0,44502.86639541185
323,2022-12-06,44474.21875255629,42135.987612085235,46752.746786177915,42094.735701210244,46762.89274706652,5.267833943273385,5.267833943273385,5.267833943273385,5.267833943273385,5.267833943273385,5.267833943273385,0.0,0.0,0.0,44479.486586499566
324,2022-12-07,44454.46716067673,41938.567490191526,46731.79038036716,42019.542820619456,46795.89179051339,-13.776401599032084,-13.776401599032084,-13.776401599032084,-13.776401599032084,-13.776401599032084,-13.776401599032084,0.0,0.0,0.0,44440.6907590777
325,2022-12-08,44434.71556879717,41983.87327339731,46724.62747567066,41945.47138508136,46821.289561178055,2.1518153479105075,2.1518153479105075,2.1518153479105075,2.1518153479105075,2.1518153479105075,2.1518153479105075,0.0,0.0,0.0,44436.86738414508
326,2022-12-09,44414.9639769176,41876.014120811386,46829.24270210962,41878.625486537,46865.857103489565,-6.852146681644665,-6.852146681644665,-6.852146681644665,-6.852146681644665,-6.852146681644665,-6.852146681644665,0.0,0.0,0.0,44408.111830235954
327,2022-12-10,44395.212385038045,41834.70036715826,46850.47929885102,41799.07182590306,46898.490168543685,2.1563990187285524,2.1563990187285524,2.1563990187285524,2.1563990187285524,2.1563990187285524,2.1563990187285524,0.0,0.0,0.0,44397.36878405677
328,2022-12-11,44375.460793158476,41797.52780692356,46855.12017191145,41723.73841875602,46911.064164979034,2.1564489947159156,2.1564489947159156,2.1564489947159156,2.1564489947159156,2.1564489947159156,2.1564489947159156,0.0,0.0,0.0,44377.617242153196
329,2022-12-12,44355.70920127892,41723.784837909334,46922.91070235927,41667.10197573248,46949.82579602599,8.896050976032585,8.896050976032585,8.896050976032585,8.896050976032585,8.896050976032585,8.896050976032585,0.0,0.0,0.0,44364.60525225495
330,2022-12-13,44335.95760939935,41599.74988453671,46994.907415356596,41581.822863024216,46992.48413695239,5.267833943272428,5.267833943272428,5.267833943272428,5.267833943272428,5.267833943272428,5.267833943272428,0.0,0.0,0.0,44341.22544334263
331,2022-12-14,44316.20601751979,41479.40328636988,46905.783785341475,41528.174422839256,47027.55010056149,-13.77640159901641,-13.77640159901641,-13.77640159901641,-13.77640159901641,-13.77640159901641,-13.77640159901641,0.0,0.0,0.0,44302.42961592077
332,2022-12-15,44296.45442564023,41465.219582572245,47038.830059854525,41476.505483988796,47069.113070591215,2.1518153478887596,2.1518153478887596,2.1518153478887596,2.1518153478887596,2.1518153478887596,2.1518153478887596,0.0,0.0,0.0,44298.60624098812
333,2022-12-16,44276.70283376067,41467.00019258274,47057.819832970745,41434.105054079264,47094.24507027413,-6.852146681640893,-6.852146681640893,-6.852146681640893,-6.852146681640893,-6.852146681640893,-6.852146681640893,0.0,0.0,0.0,44269.85068707903
334,2022-12-17,44256.951241881114,41329.07514773151,47125.39252988959,41391.293101536154,47108.48878693628,2.1563990187568933,2.1563990187568933,2.1563990187568933,2.1563990187568933,2.1563990187568933,2.1563990187568933,0.0,0.0,0.0,44259.10764089987
335,2022-12-18,44237.199650001545,41299.61253659352,47011.230033078406,41305.74732328045,47129.2321488238,2.1564489947334815,2.1564489947334815,2.1564489947334815,2.1564489947334815,2.1564489947334815,2.1564489947334815,0.0,0.0,0.0,44239.35609899628
